Group	Ideal Minus	Ideal Plus	Ideal Plus-Minus	Ideal Minus-Plus	Local Target Overlap
0	0.9999996318	0.4997120144	0.4997119078	0.4997119078	0.9999996318
1	0.9999996830	0.4998317730	0.4998317560	0.4998317560	0.9999741881
2	0.3329496889	0.4999767100	0.4999765503	0.4999765503	0.9999977753
3	0.9999997348	0.4999523644	0.4999523800	0.4999523800	0.9999745489
4	0.3331099844	0.4999691575	0.4999691450	0.4999691450	0.9999678155
5	0.3340063592	0.5002407768	0.5002405442	0.5002405442	0.9999976528
6	0.9999997873	0.5000737329	0.5000737259	0.5000737259	0.9999997873
7	0.3332705188	0.4999609158	0.4999609489	0.4999609489	0.9999530330
8	0.3336551683	0.5001051792	0.5001051776	0.5001051776	0.9999763678
9	0.9999992904	0.5005041956	0.5005038697	0.5005038697	0.9999992904
10	0.3334312654	0.4999519935	0.4999519731	0.4999519731	0.9999537076
11	0.3333020951	0.4999686691	0.4999687265	0.4999687265	0.9999613629
12	0.9999994040	0.5002397957	0.5002398119	0.5002398119	0.9999995593
13	0.3329471660	0.4998312566	0.4998312032	0.4998312032	0.9999528802
14	0.9999995177	0.4999756058	0.4999756944	0.4999756944	0.9999996728
15	0.9999996314	0.4997116243	0.4997115174	0.4997115174	0.9999996314
