interaction_u	projection_level	transport_dim	physical_coupling_mode	physical_coupling_theta	ideal_target_gate_error	ideal_target_gate_error_normalized	physical_target_gate_error_in_ideal_basis	physical_target_gate_error_in_ideal_basis_normalized	physical_target_gate_error_in_physical_basis	physical_target_gate_error_in_physical_basis_normalized	physical_vs_ideal_target_gate_error_in_ideal_basis	physical_vs_ideal_target_gate_error_in_ideal_basis_normalized	best_b_candidate_target_axis	best_b_candidate_overlap_x	best_b_candidate_overlap_y	best_b_candidate_score	best_b_candidate_coefficients_plus	best_b_candidate_coefficients_minus	best_c_candidate_target_axis	best_c_candidate_overlap_x	best_c_candidate_overlap_y	best_c_candidate_score	best_c_candidate_coefficients_plus	best_c_candidate_coefficients_minus	ideal_single_exchange_gamma2_to_minus_gamma3_error	ideal_single_exchange_gamma2_to_minus_gamma3_error_normalized	ideal_single_exchange_gamma3_to_gamma2_error	ideal_single_exchange_gamma3_to_gamma2_error_normalized	ideal_single_exchange_gamma1_to_gamma1_error	ideal_single_exchange_gamma1_to_gamma1_error_normalized	ideal_single_exchange_gamma0_to_gamma0_error	ideal_single_exchange_gamma0_to_gamma0_error_normalized	ideal_single_exchange_max_error	ideal_single_exchange_max_error_normalized	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error_normalized	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error_normalized	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error_normalized	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error_normalized	physical_single_exchange_in_ideal_basis_max_error	physical_single_exchange_in_ideal_basis_max_error_normalized	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error_normalized	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error_normalized	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error_normalized	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error_normalized	physical_single_exchange_in_physical_basis_max_error	physical_single_exchange_in_physical_basis_max_error_normalized	ideal_majorana_algebra_gamma0_square_error_normalized	ideal_majorana_algebra_gamma1_square_error_normalized	ideal_majorana_algebra_gamma2_square_error_normalized	ideal_majorana_algebra_gamma3_square_error_normalized	ideal_majorana_algebra_max_square_error_normalized	ideal_majorana_algebra_max_anticommutator_error_normalized	physical_majorana_algebra_gamma0_square_error_normalized	physical_majorana_algebra_gamma1_square_error_normalized	physical_majorana_algebra_gamma2_square_error_normalized	physical_majorana_algebra_gamma3_square_error_normalized	physical_majorana_algebra_max_square_error_normalized	physical_majorana_algebra_max_anticommutator_error_normalized
0.0	8	4	minus_only	0.7853981633974483	2.306502836503458e-06	1.153251418251729e-06	2.3065028364656995e-06	1.1532514182328498e-06	2.306502836959927e-06	1.1532514184799636e-06	1.4163820980533096e-15	7.081910490266548e-16	minus	1.2170819038270339e-33	1.0	1.0	-0.00213519,8.68649e-50,-2.34071e-20,0,-7.30585e-21,3.01373e-67,-5.04118e-21,2.08643e-67	0,-0.999892,-1.1101e-16,0,0,-3.42126e-18,0,-2.36074e-18	minus	9.011059722252813e-35	1.0	1.0	-0.00213519,9.35468e-51,-2.94802e-20,0,-6.93207e-21,2.89782e-68,-7.7462e-21,3.24556e-68	0,-0.999892,0,0,-2.77526e-17,-3.24623e-18,0,-3.62748e-18	0.003716477429728692	0.0013139731963439543	5.314606454691502e-06	1.8789971317250784e-06	0.0037164736297518675	0.0013139718528492638	1.8415496423663493e-07	6.510861200044534e-08	0.003716477429728692	0.0013139731963439543	0.0037164774297321376	0.0013139731963451725	5.314606455306081e-06	1.878997131942365e-06	0.003716473629755312	0.0013139718528504816	1.841549638319455e-07	6.510861185736603e-08	0.0037164774297321376	0.0013139731963451725	0.0037164774297321294	0.0013139731963451697	5.314606455180798e-06	1.8789971318980705e-06	0.003716473629755312	0.0013139718528504816	1.841549638319455e-07	6.510861185736603e-08	0.0037164774297321294	0.0013139731963451697	1.363392051837862e-15	1.3625339732686696e-15	1.3980639916187484e-15	1.6989604292864939e-15	1.6989604292864939e-15	1.9821058013345153e-13	1.363392051837862e-15	1.3625339732686696e-15	1.4958932620059409e-15	1.6547515059362152e-15	1.6547515059362152e-15	1.982102950242937e-13
0.0	32	16	minus_only	0.7853981633974483	0.6249447551324527	0.15623618878311318	1.5428511948372534	0.38571279870931335	1.5167837624450236	0.3791959406112559	1.4171622019485277	0.35429055048713193	minus	3.791921248796806e-19	0.9999459258224119	0.9999459258224119	-0.00213519,7.9018e-20,-0.00213519,-7.51593e-35,-7.77071e-19,-4.60295e-36,-4.63642e-19,-1.99511e-36	0,-0.999892,-4.44041e-16,0.999892,3.78105e-17,-9.73443e-18,-8.7233e-17,1.05675e-18	minus	-1.818378103024721e-19	0.9999459258224117	0.9999459258224117	-0.00213519,2.86133e-50,-0.00213519,3.24069e-34,-1.10522e-19,-9.2907e-53,2.7281e-21,1.5589e-51	0,-0.999892,2.12936e-16,0.999892,-1.51922e-16,-4.60815e-18,1.06815e-16,1.64667e-18	3.164261365348984	0.5593676672212176	1.7045456753251285	0.3013239514661504	2.665909607107967	0.471270690304102	0.46352608198499934	0.08194060895710614	3.164261365348984	0.5593676672212176	3.3105249762435793	0.5852236649973173	2.9846899657927817	0.52762362863788	2.9387747036704166	0.5195068803362095	1.6667473033014866	0.2946420801722181	3.3105249762435793	0.5852236649973173	3.26659886191491	0.5774585516690728	2.9267963676588566	0.5173893896809333	2.9387747036704166	0.5195068803362095	1.6667473033014866	0.2946420801722181	3.26659886191491	0.5774585516690728	1.938227056763731e-15	1.970357305809375e-15	1.7606358111923417e-15	1.6664751825381478e-15	1.970357305809375e-15	1.7667093146958147e-13	1.938227056763731e-15	1.970357305809375e-15	0.00010814543115892101	0.0001081454311597279	0.0001081454311597279	0.00015294073545454867
0.0	56	28	minus_only	0.7853981633974483	2.191445718948158	0.4141443131452838	2.7140792967720473	0.5129127755548504	2.701359746327787	0.5105090064645609	1.821204424739897	0.344175285319444	minus	1.9291877861019708e-20	0.9999073067800494	0.9999073067800494	-0.00213519,-1.18527e-19,-0.00213519,-5.65796e-34,-2.83863e-19,-2.69827e-36,-1.8274e-19,-1.34731e-36	0,-0.999892,-1.72542e-17,0.999892,2.68685e-16,-9.8431e-18,5.11657e-17,5.16712e-19	minus	-1.0093640438207425e-19	0.9999073067800495	0.9999073067800495	-0.00213519,1.81596e-33,-0.00213519,3.16723e-34,-4.19497e-19,-3.01277e-36,-2.17696e-19,-1.8608e-36	0,-0.999892,9.02753e-17,0.999892,2.55293e-17,0,2.8513e-16,1.79991e-18	6.119682717956037	0.8177770016554656	5.978087836127332	0.7988555896724743	3.2209380842541533	0.430415956260395	2.614219474941218	0.349339771752218	6.119682717956037	0.8177770016554656	6.3821897097689195	0.8528559739767684	6.330506155108579	0.8459494684742828	4.086858756831106	0.5461294734356741	4.110560504856911	0.5492967527421102	6.3821897097689195	0.8528559739767684	6.358347846946586	0.8496699710430672	6.3028058809336915	0.8422478636356352	4.086858756831106	0.5461294734356741	4.110560504856911	0.5492967527421102	6.358347846946586	0.8496699710430672	2.0064829372625604e-15	2.0302926359325184e-15	2.0897262628697257e-15	2.025987854302718e-15	2.0897262628697257e-15	1.5952154916001003e-13	2.0064829372625604e-15	2.0302926359325184e-15	7.568018948248376e-05	7.568018948215255e-05	7.568018948248376e-05	0.00011560339897015362
0.0	80	40	minus_only	0.7853981633974483	3.749516569248228	0.5928506241682427	3.749526678543547	0.5928522225881802	3.749441908160879	0.5928388192138123	0.014368175131989663	0.0022718079618638883	minus	2.1393454572921602e-19	0.9999351120391303	0.9999351120391303	-0.00213519,1.97545e-20,-0.00213519,9.90871e-34,0.00213519,-2.91365e-34,1.61765e-19,-1.41792e-36	0,-0.999892,-2.63774e-16,0.999892,-7.40085e-17,-0.999892,-1.83168e-16,9.93901e-18	minus	3.610242178821539e-19	0.9999351120391301	0.9999351120391301	-0.00213519,-1.18091e-19,-0.00213519,-6.39287e-32,0.00213519,-1.13178e-34,4.48766e-19,-3.02186e-37	0,-0.999892,2.14031e-18,0.999892,1.21692e-15,-0.999892,4.88591e-17,1.02693e-17	9.79796179053674	1.0954454302292853	9.79795897113848	1.095445115010977	0.007432947259510875	0.0008310287672718543	3.6830992881448507e-07	4.117830188086485e-08	9.79796179053674	1.0954454302292853	9.797955855508668	1.0954447666729745	9.797968838672448	1.0954462182348133	0.02596399726307363	0.0029028631423925564	0.024887455180557603	0.002782502078535305	9.797968838672448	1.0954462182348133	9.798250115359293	1.0954776659244267	9.798209670644933	1.0954731440678949	0.02596399726307363	0.0029028631423925564	0.024887455180557603	0.002782502078535305	9.798250115359293	1.0954776659244267	2.080483573663431e-15	2.0829014029679997e-15	2.0194447259710096e-15	2.1799089836877403e-15	2.1799089836877403e-15	2.0901486179756722e-13	2.080483573663431e-15	2.0829014029679997e-15	0.00010595815857153141	0.00010595815857132909	0.00010595815857153141	9.672612377861553e-05
0.1	8	4	minus_only	0.7853981633974483	1.8923041239906932e-06	9.461520619953466e-07	1.8923041238034244e-06	9.461520619017122e-07	1.8923041236232882e-06	9.461520618116441e-07	1.652386737475887e-15	8.261933687379435e-16	minus	2.8711496192408425e-35	1.0	1.0	0.0307061,-1.01565e-49,2.42406e-20,0,-2.83096e-19,9.27302e-67,-6.81385e-20,2.22552e-67	0,0.99958,2.32023e-17,0,-6.90643e-18,-9.21565e-18,2.40154e-17,-2.21812e-18	minus	1.0925716111179363e-33	1.0	1.0	0.0307061,-7.21646e-50,-2.1684e-20,0,-2.49803e-19,6.02746e-67,-8.30685e-20,1.94733e-67	0,0.99958,-5.54879e-17,0,-1.10976e-16,-8.13187e-18,-5.54879e-17,-2.70414e-18	0.0037164546320988872	0.0013139651361646393	5.314560555929341e-06	1.8789809040620923e-06	0.0037164508321643882	0.0013139637926849132	8.529440716298773e-09	3.0156126851117525e-09	0.0037164546320988872	0.0013139651361646393	0.0037164546320985303	0.001313965136164513	5.314560554567714e-06	1.8789809035806845e-06	0.003716450832164033	0.0013139637926847876	8.529445145098209e-09	3.0156142509288095e-09	0.0037164546320985303	0.001313965136164513	0.003716454632098514	0.0013139651361645072	5.314560554508746e-06	1.8789809035598363e-06	0.003716450832164033	0.0013139637926847876	8.529445145098209e-09	3.0156142509288095e-09	0.003716454632098514	0.0013139651361645072	1.103561363756116e-15	1.0759549462407656e-15	2.970880265177007e-15	3.3738595395567486e-15	3.3738595395567486e-15	6.428207256437146e-12	1.103561363756116e-15	1.0759549462407656e-15	3.0218812065664473e-15	3.197565325225481e-15	3.197565325225481e-15	6.428209356209458e-12
0.1	32	16	minus_only	0.7853981633974483	2.526290507342425	0.6315726268356062	2.536615188039497	0.6341537970098743	2.5365556312810558	0.6341389078202639	0.38521990312390136	0.09630497578097534	minus	5.94299099551867e-19	0.9999997990987226	0.9999997990987226	0.0307061,-8.41387e-19,0.0113678,1.11998e-33,1.88237e-18,1.84337e-35,-2.0557e-19,2.72513e-36	0,0.99958,1.10976e-16,-0.999988,1.64096e-18,-1.79481e-17,-1.11e-17,7.85137e-18	minus	5.942990995518632e-19	0.9999997990987226	0.9999997990987226	0.0307061,4.20693e-19,0.0113678,-5.3264e-34,-1.49767e-18,-2.83639e-35,-5.84453e-19,-4.64877e-36	0,0.99958,1.10976e-16,-0.999988,7.4815e-18,-1.796e-17,-4.56474e-17,9.57947e-18	6.975855245322504	1.2331686371358224	6.728032907894218	1.189359423304562	1.842859118616026	0.325774544886214	5.316505358610302e-06	9.398342478219904e-07	6.975855245322504	1.2331686371358224	6.972607849717661	1.2325945732724772	6.707126553299016	1.1856636670285223	1.8483887326432964	0.3267520517802208	1.0271661934102716	0.18157904519149395	6.972607849717661	1.2325945732724772	6.972426598868461	1.232562532346336	6.707099508838005	1.1856588861980788	1.8483887326432964	0.3267520517802208	1.0271661934102716	0.18157904519149395	6.972426598868461	1.232562532346336	2.120756943465012e-15	2.0819638388800456e-15	0.00035322460137221946	0.0003532246013714491	0.00035322460137221946	7.179793553626565e-12	2.120756943465012e-15	2.0819638388800456e-15	0.0003668650201760013	0.0003668650201760129	0.0003668650201760129	5.682345655495368e-07
0.1	56	28	minus_only	0.7853981633974483	3.2671435717738517	0.6174320991754941	3.0921001283548386	0.5843519977527002	3.0929665250723777	0.584515731342081	1.4334540391883264	0.27089735025238193	minus	-8.865927608132595e-18	0.9998768051851437	0.9998768051851437	0.0307061,-2.08234e-18,0.0113678,2.53096e-19,0.00129242,-1.99578e-34,-6.68287e-20,4.8536e-35	0,0.99958,-1.86683e-15,-0.999988,-9.26146e-15,0.998628,2.78457e-17,2.01143e-17	minus	1.7270683021763424e-18	0.9998768051851433	0.9998768051851433	0.0307061,-1.06806e-18,0.0113678,-9.38236e-19,0.00129242,4.35301e-35,2.74477e-18,3.36749e-37	0,0.99958,2.62942e-16,-0.999988,2.68997e-15,0.998628,-5.17706e-17,2.12986e-17	9.317849397833971	1.2451500010090215	9.609909389634199	1.284178159069752	4.785433036492067	0.639480388210807	2.6831831770971317	0.358555434094752	9.609909389634199	1.284178159069752	9.25386649753346	1.2365999263112848	9.537322621376658	1.2744783441542922	4.161019916203243	0.5560396752134054	1.1439191980973	0.15286263276547452	9.537322621376658	1.2744783441542922	9.254144008909861	1.2366370103288356	9.537540917616367	1.274507515216357	4.161019916203243	0.5560396752134054	1.1439191980973	0.15286263276547452	9.537540917616367	1.274507515216357	2.3382382974147315e-15	2.2836571769450796e-15	0.0007674421363336289	0.0007674421363331438	0.0007674421363336289	6.4294361537444995e-12	2.3382382974147315e-15	2.2836571769450796e-15	0.0005903232824300878	0.0005903232824297065	0.0005903232824300878	0.00044861910177591396
0.1	80	40	minus_only	0.7853981633974483	3.749323438704253	0.5928200875480073	3.7485490057214634	0.5926976389419687	3.7480353067474	0.592616416002482	0.0019899649438981414	0.0003146410843303657	minus	-8.76825677389579e-19	0.9999136162361854	0.9999136162361854	0.0307061,6.64264e-19,0.0113678,1.83041e-35,0.00129242,3.36159e-35,4.32117e-21,-7.33844e-37	0,0.99958,4.64914e-16,-0.999988,-1.6691e-14,0.998628,-7.50851e-18,2.0548e-17	minus	1.2007820979672417e-19	0.9999136162361854	0.9999136162361854	0.0307061,6.18297e-19,0.0113678,7.60971e-34,0.00129242,-1.16789e-34,-4.01886e-19,-6.21106e-36	0,0.99958,2.89388e-17,-0.999988,-1.57876e-16,0.998628,-3.61324e-17,1.87476e-17	9.796807295312544	1.0953163537392352	9.796804474619963	1.0953160383762175	0.007432901645661559	0.0008310236674884651	1.528033003558238e-08	1.7083928339096989e-09	9.796807295312544	1.0953163537392352	9.79512995843007	1.0951288217747164	9.795129142775659	1.0951287305817807	0.01062031339240346	0.0011873871343882766	0.008249785167680396	0.0009223540217351433	9.79512995843007	1.0951288217747164	9.795686709258975	1.0951910684097144	9.79568293876272	1.0951906468554176	0.01062031339240346	0.0011873871343882766	0.008249785167680396	0.0009223540217351433	9.795686709258975	1.0951910684097144	2.2367342623592136e-15	2.1972481249278972e-15	0.000747784690355717	0.0007477846903554414	0.000747784690355717	7.037012152844694e-12	2.2367342623592136e-15	2.1972481249278972e-15	0.0005823588625963259	0.0005823588625960215	0.0005823588625963259	0.00037530041229740527
2.0	8	4	minus_only	0.7853981633974483	2.0344276269212373e-06	1.0172138134606186e-06	2.0344276264619586e-06	1.0172138132309793e-06	2.0344276266506086e-06	1.0172138133253043e-06	2.3930899130433165e-15	1.1965449565216583e-15	minus	-1.4456600394284585e-33	1.0	1.0	0.466895,3.42114e-49,5.34455e-18,0,-6.27538e-18,-7.12168e-66,-6.0796e-18,-7.12168e-66	0,0.985504,0,0,0,-1.32458e-17,1.09413e-16,-1.28326e-17	minus	1.0076561468347723e-33	0.9999999999999998	0.9999999999999998	0.466895,1.46334e-49,6.39563e-18,0,-5.57822e-18,-6.49111e-67,-6.37899e-18,6.49111e-68	0,0.985504,6.59124e-17,0,-5.74882e-17,-1.17743e-17,4.36721e-17,-1.34645e-17	0.003716467525040951	0.0013139696945080207	5.314586495053496e-06	1.8789900749273862e-06	0.0037164637250825415	0.0013139683510198408	1.3860246299825103e-07	4.9003370737610416e-08	0.003716467525040951	0.0013139696945080207	0.003716467525042143	0.001313969694508442	5.314586493989799e-06	1.8789900745513125e-06	0.003716463725083735	0.0013139683510202628	1.3860246226978835e-07	4.900337048005997e-08	0.003716467525042143	0.001313969694508442	0.0037164675250421415	0.0013139696945084415	5.314586494031617e-06	1.8789900745660974e-06	0.003716463725083735	0.0013139683510202628	1.3860246226978835e-07	4.900337048005997e-08	0.0037164675250421415	0.0013139696945084415	1.3078122902278645e-15	1.307800440424875e-15	1.5937102628163466e-15	1.915131654873781e-15	1.915131654873781e-15	1.1453647937007428e-12	1.3078122902278645e-15	1.307800440424875e-15	1.448086710940741e-15	1.9458012271890152e-15	1.9458012271890152e-15	1.145388478258322e-12
2.0	32	16	minus_only	0.7853981633974483	3.005680022927702	0.7514200057319255	3.578635920868824	0.894658980217206	3.570934417041962	0.8927336042604905	2.5563948704533086	0.6390987176133271	minus	2.467019136158301e-35	0.9972099619462811	0.9972099619462811	0.466895,2.64655e-18,-0.071514,3.10924e-34,4.71166e-18,1.72866e-34,3.80681e-18,1.74257e-34	0,0.985504,-7.14949e-34,-0.926439,4.7104e-50,-8.01076e-19,3.80579e-50,-8.07522e-19	minus	3.775429367263896e-18	0.9972099619462811	0.9972099619462811	0.466895,2.64655e-18,-0.071514,-1.94903e-33,1.25188e-17,1.54295e-34,-1.29871e-18,1.61242e-34	0,0.985504,-1.09413e-16,-0.926439,-5.3691e-17,-7.8545e-19,-5.80351e-17,7.54761e-19	7.883492843419809	1.393617812254441	7.881099145252349	1.3931946622028597	0.25686299769076226	0.04540739187576062	0.11104409688770749	0.01963000848000849	7.883492843419809	1.393617812254441	7.817045849086299	1.3818715321837687	7.820164597808347	1.382422854276313	5.562147871137147	0.9832581194108488	5.4588508629450585	0.9649976156686219	7.820164597808347	1.382422854276313	7.799309393244	1.3787361401336924	7.794046216885349	1.3778057332102467	5.562147871137147	0.9832581194108488	5.4588508629450585	0.9649976156686219	7.799309393244	1.3787361401336924	2.2783220297207807e-15	2.2280418225881665e-15	0.05185680011298059	0.05185680011297988	0.05185680011298059	1.0493925554871819e-12	2.2783220297207807e-15	2.2280418225881665e-15	0.057722879205290616	0.05772287920529001	0.057722879205290616	0.007880410630125359
