Group	Ideal Minus	Ideal Plus	Ideal Plus-Minus	Ideal Minus-Plus	Local Target Overlap
0	0.9999997970	0.5000238429	0.5000238422	0.5000238422	0.9999997970
1	0.3333651886	0.5000099296	0.5000099290	0.5000099290	0.9999997798
2	0.9999997967	0.5000260567	0.5000260558	0.5000260558	0.9999997323
3	0.3333095435	0.4999960182	0.4999960177	0.4999960177	0.9999997799
4	0.3333681398	0.5000095058	0.5000095050	0.5000095050	0.9999997169
5	0.9999997965	0.5000282711	0.5000282701	0.5000282701	0.9999997321
6	0.9999997974	0.4999821088	0.4999821083	0.4999821083	0.9999997974
7	0.3333019458	0.4999929572	0.4999929565	0.4999929565	0.9999997205
8	0.3333710920	0.5000090819	0.5000090808	0.5000090808	0.9999997148
9	0.9999997963	0.5000304863	0.5000304852	0.5000304852	0.9999997963
10	0.9999997968	0.4999764109	0.4999764102	0.4999764102	0.9999997431
11	0.3332943457	0.4999898953	0.4999898942	0.4999898942	0.9999997183
12	0.3333740450	0.5000086578	0.5000086565	0.5000086565	0.9999997734
13	0.9999997962	0.4999707114	0.4999707103	0.4999707103	0.9999997425
14	0.3332867431	0.4999868324	0.4999868310	0.4999868310	0.9999997732
15	0.9999997956	0.4999650102	0.4999650086	0.4999650086	0.9999997956
