Group	Ideal Minus	Ideal Plus	Ideal Plus-Minus	Ideal Minus-Plus	Local Target Overlap
0	0.9999986168	0.4992319717	0.4992312151	0.4992312151	0.9999986168
1	0.9999982578	0.4991321779	0.4991312151	0.4991312151	0.9996757904
2	0.4649971544	0.4649971544	0.4808672686	0.4808672686	0.4649971544
3	0.4647071560	0.4647071560	0.4875416734	0.4875416734	0.4647071560
4	0.9999978855	0.4990311985	0.4990299959	0.4990299959	0.9996895280
5	0.3582696510	0.3582696510	0.3582696510	0.3582696510	0.3591145460
6	0.3582696510	0.3582696510	0.3582696510	0.3582696510	0.3591145459
7	0.3323122093	0.4992086445	0.4992089324	0.4992089324	0.9999656229
8	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
9	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
10	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
11	0.9999975043	0.4989297208	0.4989282527	0.4989282527	0.9999975043
12	0.4255198955	0.4255198955	0.4255598973	0.4255598973	0.4255198955
13	0.3800575974	0.3800575974	0.3983179906	0.3983179906	0.3800575974
14	0.3321193356	0.4991082823	0.4991085660	0.4991085660	0.9995383740
15	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
16	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
17	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
18	0.4641157698	0.4641157698	0.4641157698	0.4641157698	0.4642014995
19	0.4641157698	0.4641157698	0.4641157698	0.4641157698	0.4642014995
20	2.1932800507	2.1932800507	1.0000000000	1.0000000000	2.1932800507
21	0.9302616561	0.9302616561	0.8544654669	0.8544654669	0.9302616561
22	0.4559381278	0.4559381278	1.0000000000	1.0000000000	0.4559381278
23	0.3319226966	0.4990066471	0.4990068699	0.4990068699	0.9994612181
24	0.4459340536	0.4459340536	0.4459340536	0.4459340536	0.4473994267
25	0.4459340536	0.4459340536	0.4459340536	0.4459340536	0.4473994267
26	0.3322166785	0.4991866713	0.4991869300	0.4991869300	0.9999650776
27	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
28	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
29	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
30	0.3322005970	0.4990856858	0.4990861960	0.4990861960	0.9994290336
31	0.4639141760	0.4639141760	0.4639371659	0.4639371659	0.4639141760
32	0.4512398293	0.4512398293	0.4671076571	0.4671076571	0.4512398293
33	0.9999984056	0.4991661114	0.4991652197	0.4991652197	0.9999984056
