Group	Basis Dimension	Static Term Norm	B Fit Error	C Fit Error	B Offblock Error	C Offblock Error	Unitary Overlap
0	8	19.7222440640	8.2486406415e-16	9.0814169670e-16	6.4705559885e-16	7.4652732560e-16	0.9999997859
1	24	25.5118982743	2.1244927112e-15	2.0196905987e-15	2.1016409515e-15	2.0314909055e-15	0.9999997687
2	24	23.0304001881	2.0142934148e-15	2.0007147867e-15	1.9811418589e-15	2.1267142895e-15	0.9999997213
3	24	16.8638677908	3.8646420367e-15	3.5730124949e-15	3.8426456911e-15	3.5582764987e-15	0.9999997689
4	72	24.9104518707	6.9610520920e-15	6.9562290248e-15	6.9583035866e-15	6.9650056363e-15	0.9999997059
5	24	11.9008716217	9.1858730100e-15	8.4068580550e-15	9.1891808251e-15	8.3912037181e-15	0.9999997211
6	8	4.7434158820	1.0639427972e-15	1.4220955035e-15	1.1358637825e-15	1.0562187152e-15	0.9999997864
7	72	9.9310805155	7.9667458921e-15	7.4337427120e-15	7.9608104944e-15	7.4332552968e-15	0.9999997095
8	72	5.6329998078	1.2052340092e-14	1.3220746469e-14	1.2054155119e-14	1.3219647169e-14	0.9999997038
9	8	0.4453352098	6.5913683845e-16	4.0708904069e-16	7.7061898157e-16	6.5192351556e-16	0.9999997852
10	24	2.9146321602	4.8758506593e-15	5.0088929223e-15	4.8256711671e-15	4.9694385229e-15	0.9999997321
11	72	9.3469149775	1.1307621906e-14	1.1820069597e-14	1.1300567447e-14	1.1830691062e-14	0.9999997073
12	24	7.8776283226	1.5866965084e-14	1.6100739825e-14	1.5879657081e-14	1.6101840803e-14	0.9999997624
13	24	14.0451015702	8.9973930829e-15	7.6799083927e-15	8.9858775225e-15	7.6831820820e-15	0.9999997315
14	24	16.5265996580	1.9408434060e-14	1.8855013166e-14	1.9394888463e-14	1.8854466810e-14	0.9999997622
15	8	14.5351226936	6.9028845884e-16	7.3748286840e-16	6.7061505645e-16	6.9067931494e-16	0.9999997845
