Group	Basis Dimension	Static Term Norm	B Fit Error	C Fit Error	B Offblock Error	C Offblock Error	Unitary Overlap
0	8	24.8131121076	9.7976939443e-16	9.7329145928e-16	9.4499890616e-16	9.6631675173e-16	0.9999986057
1	24	33.7119316592	1.8628428768e-15	1.9398188005e-15	1.8639786172e-15	1.9008200052e-15	0.9996757793
2	12	22.1093758445	1.1366742870e-13	6.8962209800e-14	1.1365502456e-13	6.8953442926e-14	0.4770590858
3	12	22.0723238535	1.1418550623e-13	2.2037030514e-13	1.1417864368e-13	2.2036966219e-13	0.4971042717
4	24	24.4462934669	6.3082679778e-15	6.3710206100e-15	6.2756388798e-15	6.3507700095e-15	0.9996895169
5	24	22.0017406113	2.0841783995e-13	2.4384651062e-13	2.0841656094e-13	2.4385044709e-13	0.4202306072
6	24	21.9493411890	1.9620070345e-13	3.1921885222e-13	1.9619574951e-13	3.1922033383e-13	0.4202306073
7	24	21.6352997859	1.8753348785e-15	1.8415308869e-15	1.8133852238e-15	1.8372482291e-15	0.9999656118
8	6	9.7785936437	1.7163935640e-13	1.3764931988e-13	1.7164708838e-13	1.3767028955e-13	1.0000000000
9	12	13.7919677614	2.3857668008e-13	1.8380743537e-13	2.3856199882e-13	1.8381690346e-13	1.0000000000
10	6	9.7261942163	1.2346454423e-13	1.2248825403e-13	1.2346315911e-13	1.2247301386e-13	1.0000000000
11	8	8.7645570647	8.2112959572e-16	6.8675420163e-16	5.8413120406e-16	3.6913577660e-16	0.9999974932
12	12	9.0057861582	2.0497472817e-13	1.0996064790e-13	2.0497499242e-13	1.0995637833e-13	0.4811131835
13	12	8.9687341902	2.2805995830e-13	2.5275156897e-13	2.2805030292e-13	2.5275287110e-13	0.3924297948
14	48	17.4933473318	9.8078954017e-15	1.2295234017e-14	9.8254965072e-15	1.2306928610e-14	0.9995383629
15	6	5.1457753230	1.7503137771e-13	1.4857843122e-13	1.7501985714e-13	1.4860474211e-13	1.0000000000
16	12	7.2401732769	1.9625684106e-13	2.3175237213e-13	1.9626587690e-13	2.3173864554e-13	1.0000000000
17	6	5.0933759193	1.5267679925e-13	1.5687035651e-13	1.5265736304e-13	1.5687933908e-13	1.0000000000
18	24	9.9251103205	1.5261182523e-13	1.6345696591e-13	1.5260709614e-13	1.6344898200e-13	0.4649883767
19	24	9.8727109222	1.5879808322e-13	1.6383303674e-13	1.5879567703e-13	1.6382656555e-13	0.4649883767
20	2	2.2576816016	5.0267485386e-16	5.5511151231e-16	3.9252311467e-16	4.4408920985e-16	2.1932800507
21	4	3.1714520831	6.8220854443e-16	8.5609698126e-16	1.4058546149e-16	1.6654265305e-16	0.5046590467
22	2	2.2274289479	1.1102230246e-16	7.8504622934e-17	1.7941567019e-30	7.8504622934e-17	0.4559381278
23	24	3.1040607791	4.6717697619e-15	4.0996333803e-15	4.7019663895e-15	4.1502825846e-15	0.9994612070
24	24	0.6595977095	1.7491393571e-13	1.4295220411e-13	1.7491782181e-13	1.4294279656e-13	0.3791057858
25	24	0.6072098552	1.8941945775e-13	1.7863375621e-13	1.8941413729e-13	1.7863653209e-13	0.3791057858
26	24	0.2933470627	5.1588637602e-15	5.4923211152e-15	5.1709498110e-15	5.4920484353e-15	0.9999650665
27	6	0.8925530755	7.8231732930e-14	1.4895034986e-13	7.8230165547e-14	1.4894517465e-13	1.0000000000
28	12	1.2993122801	1.4271716394e-13	1.5996109706e-13	1.4270409216e-13	1.5994149084e-13	1.0000000000
29	6	0.9449519876	1.5751003226e-13	1.1848017006e-13	1.5748547045e-13	1.1847644440e-13	1.0000000000
30	24	8.9726317722	8.4619644994e-15	7.5338583236e-15	8.4244829681e-15	7.5301531093e-15	0.9994290225
31	12	8.0731618813	7.0420192185e-14	7.0299576045e-14	7.0415249811e-14	7.0319969378e-14	0.4259139345
32	12	8.1102138556	9.0487261192e-14	9.3625873341e-14	9.0440627426e-14	9.3620563769e-14	0.5514532956
33	8	12.1527934295	6.1214080735e-16	7.4490715920e-16	6.7606867951e-16	6.7592509044e-16	0.9999983945
