Group	Basis Dimension	Static Term Norm	B Fit Error	C Fit Error	B Offblock Error	C Offblock Error	Unitary Overlap
0	8	14.5671560629	1.3138371209e-15	1.2506988503e-15	1.2101073862e-15	1.0695389785e-15	0.9999992731
1	24	18.0960234741	1.5864330991e-15	1.6970786342e-15	1.5986251451e-15	1.6273298156e-15	0.9999992730
2	24	10.9609932785	5.2698355056e-15	4.6821415765e-15	5.2553604244e-15	4.7065466067e-15	0.9999992730
3	24	9.0463741370	1.8578455506e-15	2.1683967192e-15	1.8929915527e-15	2.1297694301e-15	0.9999992730
4	8	2.2089236826	1.2008813715e-15	1.0015905769e-15	9.2786385238e-16	9.6114685389e-16	0.9999992730
5	72	3.3105689632	5.7168098582e-15	5.8778728355e-15	5.7364440949e-15	5.8517577596e-15	0.9999992730
6	72	9.0477139647	1.0156603399e-14	1.1455710517e-14	1.0150480569e-14	1.1450445097e-14	0.9999992730
7	24	7.1383180488	3.8195662947e-15	4.0450919601e-15	3.8213087908e-15	4.0433037434e-15	0.9999992730
8	24	12.3587275297	4.4020241852e-15	3.9317309450e-15	4.4088082366e-15	3.9351658814e-15	0.9999992730
9	72	24.7221621705	1.1281325757e-14	1.0598055351e-14	1.1274720811e-14	1.0585727265e-14	0.9999992730
10	72	37.0803977920	1.6611926250e-14	1.5510795488e-14	1.6604750639e-14	1.5516456388e-14	0.9999992730
11	8	13.4655388047	1.0929488813e-15	7.5079560644e-16	1.0174746651e-15	8.3478298498e-16	0.9999992730
12	24	28.5434087417	8.0700489477e-15	8.1344321422e-15	8.0607461047e-15	8.1441559055e-15	0.9999992730
13	24	30.4580285163	1.6904259788e-14	1.9358669814e-14	1.6905935945e-14	1.9376875559e-14	0.9999992730
14	24	37.5930598126	1.8241435809e-14	1.9803921680e-14	1.8240099956e-14	1.9800766301e-14	0.9999992730
15	8	25.8237754846	5.1858562475e-16	8.4858056829e-16	6.6208516750e-16	5.4558081555e-16	0.9999992731
